sales_sk,sales_id,customer_sk,product_sk,store_sk,salesperson_sk,campaign_sk,sales_date,total_amount
987232,SALES_0987232,26094,66,262,400,11,2024-07-09T21:58:40,624.32
79955,SALES_0079955,85750,65,458,447,8,2024-03-20T15:58:55,3569.88
567131,SALES_0567131,30804,21,401,1194,40,2024-11-09T12:43:14,1483.9
500892,SALES_0500892,35711,43,317,1532,7,2024-01-22T14:17:31,4085.21
55400,SALES_0055400,38290,88,22,1358,16,2024-08-18T11:00:17,2731.44
135050,SALES_0135050,32035,13,209,1663,45,2024-08-23T13:11:20,2806.99
733379,SALES_0733379,36711,78,118,525,2,2024-01-28T14:39:42,3680.9
732058,SALES_0732058,59511,92,301,1568,11,2024-01-21T03:37:47,1725.97
51334,SALES_0051334,19850,102,46,619,22,2024-04-07T19:09:27,4646.05
731480,SALES_0731480,34011,5,366,1067,2,2024-01-30T10:35:11,774.11
399759,SALES_0399759,6669,121,182,1898,15,2024-05-23T21:28:05,1628.27
401398,SALES_0401398,76316,159,196,972,40,2024-12-01T05:00:54,2869.36
855486,SALES_0855486,1458,123,483,425,22,2024-07-12T11:09:37,4827.94
858885,SALES_0858885,56619,145,373,387,3,2024-02-05T05:56:06,982.86
503248,SALES_0503248,87822,108,315,518,6,2024-04-18T00:02:56,4080.11
864742,SALES_0864742,75592,123,80,889,7,2024-06-11T04:44:41,2029.51
35033,SALES_0035033,13667,32,340,458,14,2024-08-06T20:44:23,2801.25
995704,SALES_0995704,96164,29,396,136,38,2024-10-19T05:26:52,3355.67
376762,SALES_0376762,63422,89,476,359,8,2024-02-26T17:15:10,4400.51
811354,SALES_0811354,93627,64,181,1756,43,2024-10-24T12:29:09,2857.14
577746,SALES_0577746,73521,70,139,842,48,2024-05-17T02:32:51,955.32
659807,SALES_0659807,94040,36,68,393,25,2024-09-21T12:39:39,3900.46
219340,SALES_0219340,81351,4,169,665,9,2024-05-21T17:29:46,4338.07
979756,SALES_0979756,43848,27,103,1116,7,2024-04-20T08:36:48,1028.05
625692,SALES_0625692,66840,5,153,1145,7,2024-04-01T09:43:26,4280.43
215340,SALES_0215340,86386,149,338,1695,11,2024-03-27T19:16:05,3162.98
443418,SALES_0443418,95071,124,388,1245,42,2024-08-25T19:14:09,2550.27
980329,SALES_0980329,95802,55,80,754,6,2024-04-23T21:24:11,3015.83
336984,SALES_0336984,20813,173,125,745,29,2024-10-16T06:32:19,1346.32
518813,SALES_0518813,27855,101,163,1513,40,2024-11-29T12:46:17,3944.67
943379,SALES_0943379,64088,115,108,1779,10,2024-07-03T10:08:38,1276.71
2086,SALES_0002086,89995,152,327,856,29,2024-10-16T19:01:44,2442.76
663616,SALES_0663616,87257,139,333,324,49,2024-10-20T17:53:22,2572.62
677815,SALES_0677815,94138,85,65,1771,19,2024-08-30T08:18:16,3133.54
957738,SALES_0957738,60129,186,460,417,14,2024-07-24T03:38:28,2381.66
543083,SALES_0543083,68392,7,441,1912,23,2024-02-24T06:17:22,4113.23
529928,SALES_0529928,64410,191,220,796,35,2024-10-04T15:58:33,4126.68
66337,SALES_0066337,4914,138,235,481,9,2024-05-12T04:17:47,4582.56
272967,SALES_0272967,27550,88,93,687,34,2024-10-24T20:59:42,550.31
876376,SALES_0876376,69474,88,399,41,5,2024-04-27T18:20:54,4480.99
443182,SALES_0443182,87976,116,315,875,41,2024-11-27T16:33:54,2835.46
38748,SALES_0038748,39059,130,404,707,5,2024-04-19T22:56:59,1786.41
244519,SALES_0244519,56765,61,99,1446,15,2024-07-22T11:05:11,576.22
321942,SALES_0321942,5680,72,124,31,25,2024-07-19T03:03:24,1466.82
212424,SALES_0212424,36987,123,61,1387,50,2024-10-23T05:58:58,2639.19
684488,SALES_0684488,68020,186,291,56,6,2024-05-04T10:22:34,3276.87
460022,SALES_0460022,27917,172,440,1090,33,2024-11-07T15:22:55,2235.98
330798,SALES_0330798,2968,104,132,1321,24,2024-06-12T15:28:50,2671.44
820288,SALES_0820288,51014,77,296,54,16,2024-08-18T14:16:35,866.17
934969,SALES_0934969,63082,4,224,1582,13,2024-06-21T10:36:46,3582.67
878903,SALES_0878903,33459,166,451,390,23,2024-06-06T15:25:55,1834.51
507015,SALES_0507015,74715,95,334,665,10,2024-06-20T23:14:10,662.58
63469,SALES_0063469,66246,203,471,939,28,2024-08-13T23:05:48,2673.68
568671,SALES_0568671,77303,127,418,1438,6,2024-05-17T10:31:12,2977.42
855772,SALES_0855772,90215,144,283,1019,9,2024-06-01T14:13:34,3874.43
606373,SALES_0606373,87955,206,492,1441,35,2024-10-27T06:32:45,4158.25
358901,SALES_0358901,59668,13,244,545,13,2024-04-17T20:54:46,1974.17
178393,SALES_0178393,71281,69,279,1690,49,2024-07-16T10:23:20,1914.61
921915,SALES_0921915,18951,203,297,1263,32,2024-10-26T03:15:13,3704.76
348366,SALES_0348366,48697,139,5,108,37,2024-07-30T18:40:05,1255.61
377483,SALES_0377483,22033,17,57,1954,2,2024-02-06T09:29:55,4993.2
44793,SALES_0044793,43024,173,361,1557,39,2024-11-21T07:56:03,819.65
690928,SALES_0690928,11226,48,37,296,35,2024-10-19T05:39:25,3834.99
50314,SALES_0050314,93465,69,385,1125,30,2024-08-28T20:35:41,1267.96
780882,SALES_0780882,34008,198,53,1673,19,2024-08-21T21:23:55,4831.11
18959,SALES_0018959,21586,128,226,543,2,2024-01-30T10:37:10,3826.18
804704,SALES_0804704,62937,165,136,1761,5,2024-05-10T21:15:54,2389.61
8986,SALES_0008986,63185,21,106,1710,23,2024-09-07T13:42:12,3168.82
99902,SALES_0099902,21740,57,111,1212,49,2024-07-12T18:49:51,2128.15
655319,SALES_0655319,58391,63,174,1535,35,2024-10-08T01:58:08,1537.36
224929,SALES_0224929,17815,66,202,575,38,2024-11-16T17:33:29,2668.32
926626,SALES_0926626,18515,203,246,1102,45,2024-09-28T23:26:01,1096.22
67899,SALES_0067899,46871,170,454,1781,44,2024-11-01T15:42:54,3720.53
68879,SALES_0068879,91146,134,487,1135,5,2024-05-10T14:15:50,3325.99
904485,SALES_0904485,38773,73,197,1072,3,2024-03-04T18:04:56,2501.32
244300,SALES_0244300,81427,197,337,736,49,2024-08-06T06:33:28,2531.73
912238,SALES_0912238,76472,162,288,727,28,2024-04-08T00:22:42,4874.7
803685,SALES_0803685,55694,111,223,621,30,2024-10-02T23:31:35,2364.97
444937,SALES_0444937,86298,79,42,277,49,2024-07-21T17:46:40,2069.07
